,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,geometry,comments
10060,9988,2013-09-01 02:32:56+00:00,17612349,"{'Lat': '32.55125', 'Long': '74.97117', 'Place': 'Rari', 'Sl_No': '24747.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10061,9989,2013-09-01 02:33:03+00:00,17612349,"{'Lat': '32.5625', 'Long': '74.77917', 'Place': 'Chak Preman', 'Sl_No': '24725.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10050,9978,2013-09-01 02:32:25+00:00,17612349,"{'Lat': '32.4898', 'Long': '74.74796', 'Place': 'Jabwal Khurd', 'Sl_No': '21363.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10051,9979,2013-09-01 02:32:28+00:00,17612349,"{'Lat': '32.49087', 'Long': '74.76441', 'Place': 'Bhatte', 'Sl_No': '38027.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10052,9980,2013-09-01 02:32:37+00:00,17612349,"{'Lat': '32.50417', 'Long': '74.80833', 'Place': 'Rakh Arina', 'Sl_No': '24637.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10053,9981,2013-09-01 02:32:39+00:00,17612349,"{'Lat': '32.50858', 'Long': '74.96402', 'Place': 'Ramgarh', 'Sl_No': '4512.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10054,9982,2013-09-01 02:32:40+00:00,17612349,"{'Lat': '32.51229', 'Long': '75.24871', 'Place': 'Kuta', 'Sl_No': '9675.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10055,9983,2013-09-01 02:32:45+00:00,17612349,"{'Lat': '32.525', 'Long': '74.95', 'Place': 'Rarwan Khurd', 'Sl_No': '24668.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10056,9984,2013-09-01 02:32:45+00:00,17612349,"{'Lat': '32.525', 'Long': '74.975', 'Place': 'Kehranwali', 'Sl_No': '24661.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
10057,9985,2013-09-01 02:32:45+00:00,17612349,"{'Lat': '32.52917', 'Long': '74.80278', 'Place': 'Kul Khurd', 'Sl_No': '24709.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
